AÑO,MES,MESTXT,Decesos
2009,1,ENERO,1388
2009,2,FEBRERO,1141
2009,3,MARZO,1185
2009,4,ABRIL,1135
2009,5,MAYO,1058
2009,6,JUNIO,1104
2009,7,JULIO,1085
2009,8,AGOSTO,1174
2009,9,SEPTIEMBRE,1128
2009,10,OCTUBRE,1109
2009,11,NOVIEMBRE,1165
2009,12,DICIEMBRE,1415
2010,1,ENERO,1202
2010,2,FEBRERO,753
2010,3,MARZO,941
2010,4,ABRIL,900
2010,5,MAYO,1003
2010,6,JUNIO,1019
2010,7,JULIO,1155
2010,8,AGOSTO,1138
2010,9,SEPTIEMBRE,1091
2010,10,OCTUBRE,1084
2010,11,NOVIEMBRE,1283
2010,12,DICIEMBRE,1559
2011,1,ENERO,1461
2011,2,FEBRERO,1203
2011,3,MARZO,1144
2011,4,ABRIL,1007
2011,5,MAYO,1094
2011,6,JUNIO,1061
2011,7,JULIO,1133
2011,8,AGOSTO,1062
2011,9,SEPTIEMBRE,1111
2011,10,OCTUBRE,1029
2011,11,NOVIEMBRE,808
2011,12,DICIEMBRE,1342
2012,1,ENERO,1332
2012,2,FEBRERO,1274
2012,3,MARZO,1248
2012,4,ABRIL,1074
2012,5,MAYO,1091
2012,6,JUNIO,1129
2012,7,JULIO,1101
2012,8,AGOSTO,1165
2012,9,SEPTIEMBRE,1106
2012,10,OCTUBRE,1185
2012,11,NOVIEMBRE,1150
2012,12,DICIEMBRE,1339
2013,1,ENERO,1504
2013,2,FEBRERO,1282
2013,3,MARZO,1332
2013,4,ABRIL,1128
2013,5,MAYO,1085
2013,6,JUNIO,1138
2013,7,JULIO,1074
2013,8,AGOSTO,1108
2013,9,SEPTIEMBRE,1102
2013,10,OCTUBRE,1153
2013,11,NOVIEMBRE,1159
2013,12,DICIEMBRE,1500
2014,1,ENERO,1594
2014,2,FEBRERO,1321
2014,3,MARZO,1331
2014,4,ABRIL,1227
2014,5,MAYO,1104
2014,6,JUNIO,1192
2014,7,JULIO,1156
2014,8,AGOSTO,1141
2014,9,SEPTIEMBRE,1262
2014,10,OCTUBRE,1363
2014,11,NOVIEMBRE,1336
2014,12,DICIEMBRE,1489
2015,1,ENERO,1671
2015,2,FEBRERO,1255
2015,3,MARZO,1334
2015,4,ABRIL,1157
2015,5,MAYO,1150
2015,6,JUNIO,1260
2015,7,JULIO,1147
2015,8,AGOSTO,1147
2015,9,SEPTIEMBRE,1228
2015,10,OCTUBRE,1234
2015,11,NOVIEMBRE,1295
2015,12,DICIEMBRE,1631
2016,1,ENERO,1719
2016,2,FEBRERO,1575
2016,3,MARZO,1447
2016,4,ABRIL,1258
2016,5,MAYO,1309
2016,6,JUNIO,1233
2016,7,JULIO,1243
2016,8,AGOSTO,1379
2016,9,SEPTIEMBRE,1209
2016,10,OCTUBRE,1279
2016,11,NOVIEMBRE,1254
2016,12,DICIEMBRE,1519
2017,1,ENERO,1676
2017,2,FEBRERO,1357
2017,3,MARZO,1533
2017,4,ABRIL,1260
2017,5,MAYO,1376
2017,6,JUNIO,1381
2017,7,JULIO,1323
2017,8,AGOSTO,1336
2017,9,SEPTIEMBRE,1272
2017,10,OCTUBRE,1349
2017,11,NOVIEMBRE,1315
2017,12,DICIEMBRE,1579
2018,1,ENERO,1787
2018,2,FEBRERO,1456
2018,3,MARZO,1550
2018,4,ABRIL,1489
2018,5,MAYO,1464
2018,6,JUNIO,1349
2018,7,JULIO,1474
2018,8,AGOSTO,1473
2018,9,SEPTIEMBRE,1389
2018,10,OCTUBRE,1429
2018,11,NOVIEMBRE,1379
2018,12,DICIEMBRE,1762
2019,1,ENERO,1947
2019,2,FEBRERO,1525
2019,3,MARZO,1581
2019,4,ABRIL,1486
2019,5,MAYO,1538
2019,6,JUNIO,1416
2019,7,JULIO,1491
2019,8,AGOSTO,1505
2019,9,SEPTIEMBRE,1377
2019,10,OCTUBRE,1566
2019,11,NOVIEMBRE,1543
2019,12,DICIEMBRE,1731
2020,1,ENERO,1998
2020,2,FEBRERO,1690
2020,3,MARZO,1471
2020,4,ABRIL,950
2020,5,MAYO,1723
2020,6,JUNIO,3810
2020,7,JULIO,4281
2020,8,AGOSTO,2304
2020,9,SEPTIEMBRE,1788
2020,10,OCTUBRE,1857
2020,11,NOVIEMBRE,2191
2020,12,DICIEMBRE,3273
