CVEGEO,CLAS_REG
26001,Río Sonora
26002,Sierra Alta
26003,Sur
26004,Noroeste
26005,Sierra Centro
26006,Río Sonora
26007,Noroeste
26008,Sierra Alta
26009,Sierra Centro
26010,Sierra Alta
26011,Río Sonora
26012,Sur
26013,Río Sonora
26014,Río Sonora
26015,Sierra Alta
26016,Centro Norte
26017,Noroeste
26018,Sur
26019,Río Sonora
26020,Centro Norte
26021,Sierra Centro
26022,Centro Norte
26023,Sierra Alta
26024,Sierra Alta
26025,Sur
26026,Sur
26027,Sierra Alta
26028,Sierra Alta
26029,Sur
26030,Centro Norte
26031,Sierra Alta
26032,Sierra Alta
26033,Sur
26034,Río Sonora
26035,Centro Norte
26036,Centro Norte
26037,Sierra Centro
26038,Sierra Alta
26039,Río Sonora
26040,Sierra Alta
26041,Sierra Alta
26042,Sur
26043,Centro Norte
26044,Sierra Centro
26045,Centro Norte
26046,Noroeste
26047,Noroeste
26048,Noroeste
26049,Sur
26050,Río Sonora
26051,Sur
26052,Sierra Centro
26053,Río Sonora
26054,Sierra Centro
26055,Noroeste
26056,Centro Norte
26057,Sierra Centro
26058,Centro Norte
26059,Centro Norte
26060,Noroeste
26061,Sierra Centro
26062,Sierra Centro
26063,Sierra Alta
26064,Noroeste
26065,Noroeste
26066,Río Sonora
26067,Sierra Alta
26068,Sierra Centro
26069,Sur
26070,Noroeste
26071,Sur
26072,Sur
