CVEGEO,POB,CLAS_POB
26001,3025,C
26002,88530,B
26003,27922,B
26004,10309,B
26005,1284,C
26006,2958,C
26007,638,C
26008,1220,C
26009,862,C
26010,1537,C
26011,1736,C
26012,24900,B
26013,1797,C
26014,3676,C
26015,1629,C
26016,5580,C
26017,92177,B
26018,468994,A
26019,38103,B
26020,5305,C
26021,2122,C
26022,1066,C
26023,6755,C
26024,817,C
26025,60631,B
26026,66633,B
26027,9356,C
26028,1170,C
26029,171035,A
26030,946054,A
26031,1411,C
26032,990,C
26033,86918,B
26034,1091,C
26035,13843,B
26036,33896,B
26037,1324,C
26038,5400,C
26039,6756,C
26040,2172,C
26041,14231,B
26042,177079,A
26043,253486,A
26044,493,C
26045,2949,C
26046,432,C
26047,10159,B
26048,72279,B
26049,3120,C
26050,1653,C
26051,5488,C
26052,6122,C
26053,449,C
26054,679,C
26055,206982,A
26056,10070,B
26057,1648,C
26058,17813,B
26059,2031,C
26060,1736,C
26061,1474,C
26062,1222,C
26063,1515,C
26064,1763,C
26065,1329,C
26066,9577,C
26067,1693,C
26068,1263,C
26069,6387,C
26070,18481,B
26071,23843,B
26072,15677,B
