"","año","mesnum","mes","Confirmados","Decesos"
"1",2020,3,"marzo",NA,NA
"2",2020,4,"abril",287,NA
"3",2020,5,"mayo",2081,159
"4",2020,6,"junio",6322,701
"5",2020,7,"julio",10765,934
"6",2020,8,"agosto",9149,858
"7",2020,9,"septiembre",4794,214
"8",2020,10,"octubre",4210,239
"9",2020,11,"noviembre",5002,264
"10",2020,12,"diciembre",7886,595
"11",2021,1,"enero",11421,1117
"12",2021,2,"febrero",4707,601
"13",2021,3,"marzo",3294,275
"14",2021,4,"abril",2938,257
"15",2021,5,"mayo",1939,98
"16",2021,6,"junio",4269,156
"17",2021,7,"julio",8689,234
"18",2021,8,"agosto",12215,503
